CÓDIGO,DESCRIÇÃO DE SERVIÇO,UNIDADE,CUSTO UNITÁRIO,REGIÃO,ANO
ED-50248,"LAJE PRÉ-MOLDADA, APARENTE, INCLUSIVE CAPEAMENTO E = 4 CM, SC = 300 KG/M2, L = 3,00 M",m2,138.66,Região Norte,Planilha
ED-50249,"LAJE PRÉ-MOLDADA, APARENTE, INCLUSIVE CAPEAMENTO E = 4 CM, SC = 300 KG/M2, L = 4,00 M",m2,156.91,Região Norte,Planilha
ED-50250,"LAJE PRÉ-MOLDADA, APARENTE, INCLUSIVE CAPEAMENTO E = 4 CM, SC = 300 KG/M2, L = 5,00 M",m2,173.89,Região Norte,Planilha
8753,ESCORAMENTO,,,Região Norte,Planilha
ED-19637,"CIMBRAMENTO PARA LAJE PRÉ-MOLDADA COM ESCORAMENTO METÁLICO, TIPO ""A"", ALTURA DE (200 ATÉ 310)CM, INCLUSIVE DESCARGA, MONTAGEM, DESMONTAGEM E CARGA",m2xmês,16.14,Região Norte,Planilha
ED-19638,"CIMBRAMENTO PARA LAJE PRÉ-MOLDADA COM ESCORAMENTO METÁLICO, TIPO ""B"", ALTURA DE (311 ATÉ 450)CM, INCLUSIVE DESCARGA, MONTAGEM, DESMONTAGEM E CARGA",m2xmês,16.7,Região Norte,Planilha
ED-19633,"ESCORAMENTO METÁLICO PARA LAJE E VIGA EM CONCRETO ARMADO, TIPO ""A"", ALTURA DE (200 ATÉ 310)CM, INCLUSIVE DESCARGA, MONTAGEM, DESMONTAGEM E CARGA",m2xmês,12.93,Região Norte,Planilha
ED-19634,"ESCORAMENTO METÁLICO PARA LAJE E VIGA EM CONCRETO ARMADO, TIPO ""B"", ALTURA DE (311 ATÉ 450)CM, INCLUSIVE DESCARGA, MONTAGEM, DESMONTAGEM E CARGA",m2xmês,13.63,Região Norte,Planilha
ED-19635,"ESCORAMENTO METÁLICO PARA VIGA EM CONCRETO ARMADO, TIPO ""A"", ALTURA DE (200 ATÉ 310)CM, EXCLUSIVE DESCARGA, MONTAGEM, DESMONTAGEM E CARGA",m2xmês,11.45,Região Norte,Planilha
8754,POLIMENTO E NÍVEL ZERO EM CONCRETO,,,Região Norte,Planilha
ED-50619,POLIMENTO MECÂNICO DE PISO EM CONCRETO COM NIVELAMENTO A LASER (NÍVEL ZERO),m2,15.15,Região Norte,Planilha
8755,GRAUTE,,,Região Norte,Planilha
ED-49662,"FORNECIMENTO E APLICAÇÃO DE GRAUTE PARA ANCORAGENS, RECUPERAÇÕES ESTRUTURAIS E USO EM GERAL",m3,2733.04,Região Norte,Planilha
ED-49663,"PREPARO DE GRAUTE COM ARGAMASSA DE CIMENTO, AREIA SEM PENEIRAR E PEDRISCO TRAÇO 1:3:2",m3,488.75,Região Norte,Planilha
ED-49661,"PREPARO E LANÇAMENTO DE GRAUTE COM ARGAMASSA DE CIMENTO, CAL HIDRATADA, AREIA SEM PENEIRAR E PEDRISCO TRAÇO 1:0,1:3:2",m3,769.76,Região Norte,Planilha
8756,RECUPERAÇÃO E REFORCO DE ESTRUTURA DE CONCRETO,,,Região Norte,Planilha
ED-49655,ANCORAGEM DE BARRAS DE AÇO COM CHUMBADOR QUÍMICO À BASE DE RESINA EPÓXI,dm3,346.98,Região Norte,Planilha
ED-49660,"ESCARIFICAÇÃO MANUAL , CORTE DE CONCRETO ATÉ 3 CM DE PROFUNDIDADE",m2,180.2,Região Norte,Planilha
ED-49656,LIXAMENTO MECANIZADO DA ARMADURA COM ESCOVA CIRCULAR,m,7.38,Região Norte,Planilha
ED-49657,"PROTEÇÃO DE ARMADURA CORROÍDA POR AÇÃO DE CLORETOS, COM TINTA DE ALTO TEOR DE ZINCO",m,4.94,Região Norte,Planilha
ED-49658,"REFORÇO ESTRUTURAL COM EMENDA POR SOLDA , PARA RECONSTITUIÇÃO DA SEÇÃO DA ARMADURA",U,11.55,Região Norte,Planilha
ED-49659,"REFORÇO ESTRUTURAL COM EMENDA POR TRANSPASSE , PARA RECONSTITUIÇÃO DA SEÇÃO DA ARMADURA",Kg,16.16,Região Norte,Planilha
8669,ALVENARIAS E DIVISÓRIAS,,,Região Norte,Planilha
8757,ALVENARIA DE TIJOLO LAMINADO,,,Região Norte,Planilha
ED-48222,"ALVENARIA DE VEDAÇÃO COM TIJOLO CERÂMICO LAMINADO, 18 FUROS, ESP. 11CM, COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,129.72,Região Norte,Planilha
ED-48224,"ALVENARIA DE VEDAÇÃO COM TIJOLO CERÂMICO LAMINADO, 18 FUROS, ESP. 23,5CM, COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,242.95,Região Norte,Planilha
ED-48221,"ALVENARIA DE VEDAÇÃO COM TIJOLO CERÂMICO LAMINADO, 18 FUROS, ESP. 5,5CM, COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,77.12,Região Norte,Planilha
8758,ALVENARIA DE TIJOLO MACIÇO,,,Região Norte,Planilha
ED-48229,"ALVENARIA DE VEDAÇÃO COM TIJOLO MACIÇO REQUEIMADO, ESP. 10CM, COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,89.53,Região Norte,Planilha
ED-48227,"ALVENARIA DE VEDAÇÃO COM TIJOLO MACIÇO REQUEIMADO, ESP. 10CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,86.77,Região Norte,Planilha
ED-48230,"ALVENARIA DE VEDAÇÃO COM TIJOLO MACIÇO REQUEIMADO, ESP. 20CM, COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,158.83,Região Norte,Planilha
ED-48228,"ALVENARIA DE VEDAÇÃO COM TIJOLO MACIÇO REQUEIMADO, ESP. 20CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,153.71,Região Norte,Planilha
ED-48226,"ALVENARIA DE VEDAÇÃO COM TIJOLO MACIÇO REQUEIMADO, ESP. 5CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,64.3,Região Norte,Planilha
8759,ALVENARIA DE TIJOLO CERÂMICO,,,Região Norte,Planilha
ED-48232,"ALVENARIA DE VEDAÇÃO COM TIJOLO CERÂMICO FURADO, ESP. 14CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,64.04,Região Norte,Planilha
ED-48233,"ALVENARIA DE VEDAÇÃO COM TIJOLO CERÂMICO FURADO, ESP. 19CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,77.39,Região Norte,Planilha
ED-48231,"ALVENARIA DE VEDAÇÃO COM TIJOLO CERÂMICO FURADO, ESP. 9CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,45.51,Região Norte,Planilha
8760,ALVENARIA DE BLOCO DE CONCRETO (VEDAÇÃO),,,Região Norte,Planilha
ED-48195,"ALVENARIA DE VEDAÇÃO COM BLOCO DE CONCRETO, ESP. 14CM, COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,63.71,Região Norte,Planilha
ED-48192,"ALVENARIA DE VEDAÇÃO COM BLOCO DE CONCRETO, ESP. 14CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,59.36,Região Norte,Planilha
ED-48196,"ALVENARIA DE VEDAÇÃO COM BLOCO DE CONCRETO, ESP. 19CM, COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,77.14,Região Norte,Planilha
ED-48193,"ALVENARIA DE VEDAÇÃO COM BLOCO DE CONCRETO, ESP. 19CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,94.44,Região Norte,Planilha
ED-48194,"ALVENARIA DE VEDAÇÃO COM BLOCO DE CONCRETO, ESP. 9CM, COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,51.44,Região Norte,Planilha
ED-48191,"ALVENARIA DE VEDAÇÃO COM BLOCO DE CONCRETO, ESP. 9CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,49.81,Região Norte,Planilha
8761,ALVENARIA DE BLOCO DE CONCRETO (ESTRUTURAL),,,Região Norte,Planilha
ED-48201,"ALVENARIA ESTRUTURAL COM BLOCO DE CONCRETO, ESP. 14CM, (FBK 4,5MPA), COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,55.12,Região Norte,Planilha
ED-48198,"ALVENARIA ESTRUTURAL COM BLOCO DE CONCRETO, ESP. 14CM, (FBK 4,5MPA), PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,68.06,Região Norte,Planilha
ED-48202,"ALVENARIA ESTRUTURAL COM BLOCO DE CONCRETO, ESP. 19CM, (FBK 4,5MPA), COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,64.06,Região Norte,Planilha
ED-48199,"ALVENARIA ESTRUTURAL COM BLOCO DE CONCRETO, ESP. 19CM, (FBK 4,5MPA), PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,79.95,Região Norte,Planilha
ED-48200,"ALVENARIA ESTRUTURAL COM BLOCO DE CONCRETO, ESP. 9CM, (FBK 4,5MPA), COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,45.73,Região Norte,Planilha
ED-48197,"ALVENARIA ESTRUTURAL COM BLOCO DE CONCRETO, ESP. 9CM, (FBK 4,5MPA), PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,53.34,Região Norte,Planilha
ED-48394,"CINTA DE AMARRAÇÃO DE ALVENARIA COM BLOCO DE CONCRETO ESTRUTURAL, CANALETA TIPO ""J"", ESP. 14CM, (FBK 4,5MPA), COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO, EXCLUSIVE GRAUTE E ARMAÇÃO",m,17.12,Região Norte,Planilha
ED-48393,"CINTA DE AMARRAÇÃO DE ALVENARIA COM BLOCO DE CONCRETO ESTRUTURAL, CANALETA TIPO ""J"", ESP. 14CM, (FBK 4,5MPA), PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO, EXCLUSIVE GRAUTE E ARMAÇÃO",m,14.98,Região Norte,Planilha
ED-48391,"CINTA DE AMARRAÇÃO DE ALVENARIA COM BLOCO DE CONCRETO ESTRUTURAL, CANALETA TIPO ""U"", ESP. 14CM, (FBK 4,5MPA), COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO, EXCLUSIVE GRAUTE E ARMAÇÃO",m,17.33,Região Norte,Planilha
ED-48388,"CINTA DE AMARRAÇÃO DE ALVENARIA COM BLOCO DE CONCRETO ESTRUTURAL, CANALETA TIPO ""U"", ESP. 14CM, (FBK 4,5MPA), PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO, EXCLUSIVE GRAUTE E ARMAÇÃO",m,20,Região Norte,Planilha
ED-48392,"CINTA DE AMARRAÇÃO DE ALVENARIA COM BLOCO DE CONCRETO ESTRUTURAL, CANALETA TIPO ""U"", ESP. 19CM, (FBK 4,5MPA), COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO, EXCLUSIVE GRAUTE E ARMAÇÃO",m,21.64,Região Norte,Planilha
ED-48389,"CINTA DE AMARRAÇÃO DE ALVENARIA COM BLOCO DE CONCRETO ESTRUTURAL, CANALETA TIPO ""U"", ESP. 19CM, (FBK 4,5MPA), PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO, EXCLUSIVE GRAUTE E ARMAÇÃO",m,17.59,Região Norte,Planilha
ED-48390,"CINTA DE AMARRAÇÃO DE ALVENARIA COM BLOCO DE CONCRETO ESTRUTURAL, CANALETA TIPO ""U"", ESP. 9CM, (FBK 4,5MPA), COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO, EXCLUSIVE GRAUTE E ARMAÇÃO",m,13.45,Região Norte,Planilha
ED-48387,"CINTA DE AMARRAÇÃO DE ALVENARIA COM BLOCO DE CONCRETO ESTRUTURAL, CANALETA TIPO ""U"", ESP. 9CM, (FBK 4,5MPA), PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO, EXCLUSIVE GRAUTE E ARMAÇÃO",m,12.98,Região Norte,Planilha
8762,ALVENARIA DE BLOCO AUTOCLAVADO (CAA),,,Região Norte,Planilha
ED-48203,"ALVENARIA DE VEDAÇÃO COM BLOCOS DE CONCRETO CELULAR AUTOCLAVADO (CCA), ESP. 10CM, INCLUSIVE ARGAMASSA INDUSTRIALIZADA PARA ASSENTAMENTO",m2,71.67,Região Norte,Planilha
ED-48204,"ALVENARIA DE VEDAÇÃO COM BLOCOS DE CONCRETO CELULAR AUTOCLAVADO (CCA), ESP. 15CM, INCLUSIVE ARGAMASSA INDUSTRIALIZADA PARA ASSENTAMENTO",m2,113.99,Região Norte,Planilha
ED-48205,"ALVENARIA DE VEDAÇÃO COM BLOCOS DE CONCRETO CELULAR AUTOCLAVADO (CCA), ESP. 20CM, INCLUSIVE ARGAMASSA INDUSTRIALIZADA PARA ASSENTAMENTO",m2,145.9,Região Norte,Planilha
8763,ALVENARIA DE BLOCO DE CONCRETO (CHEIO),,,Região Norte,Planilha
ED-48213,"ALVENARIA DE BLOCO DE CONCRETO CHEIO COM ARMAÇÃO, EM CONCRETO COM FCK 15MPA , ESP. 14CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO (DETALHE D - CADERNO SEDS)",m2,201.78,Região Norte,Planilha
ED-48214,"ALVENARIA DE BLOCO DE CONCRETO CHEIO COM ARMAÇÃO, EM CONCRETO COM FCK 15MPA , ESP. 19CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO (DETALHE D - CADERNO SEDS)",m2,241.47,Região Norte,Planilha
ED-48212,"ALVENARIA DE BLOCO DE CONCRETO CHEIO COM ARMAÇÃO, EM CONCRETO COM FCK 15MPA , ESP. 9CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO (DETALHE D - CADERNO SEDS)",m2,159.26,Região Norte,Planilha
ED-48219,"ALVENARIA DE BLOCO DE CONCRETO CHEIO SEM ARMAÇÃO, EM CONCRETO COM FCK DE 20MPA , ESP. 14CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO (DETALHE D - CADERNO SEDS)",m2,131.08,Região Norte,Planilha
ED-48220,"ALVENARIA DE BLOCO DE CONCRETO CHEIO SEM ARMAÇÃO, EM CONCRETO COM FCK DE 20MPA , ESP. 19CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO (DETALHE D - CADERNO SEDS)",m2,171.63,Região Norte,Planilha
ED-48218,"ALVENARIA DE BLOCO DE CONCRETO CHEIO SEM ARMAÇÃO, EM CONCRETO COM FCK DE 20MPA , ESP. 9CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO (DETALHE D - CADERNO SEDS)",m2,87.72,Região Norte,Planilha
ED-48216,"ALVENARIA DE BLOCO DE CONCRETO CHEIO SEM ARMAÇÃO, EM CONCRETO COM FCK 15MPA , ESP. 14CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO (DETALHE D - CADERNO SEDS)",m2,129.21,Região Norte,Planilha
ED-48217,"ALVENARIA DE BLOCO DE CONCRETO CHEIO SEM ARMAÇÃO, EM CONCRETO COM FCK 15MPA , ESP. 19CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO (DETALHE D - CADERNO SEDS)",m2,168.9,Região Norte,Planilha
ED-48215,"ALVENARIA DE BLOCO DE CONCRETO CHEIO SEM ARMAÇÃO, EM CONCRETO COM FCK 15MPA , ESP. 9CM, PARA REVESTIMENTO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO (DETALHE D - CADERNO SEDS)",m2,86.69,Região Norte,Planilha
8764,ELEMENTO VAZADO,,,Região Norte,Planilha
ED-48208,"ALVENARIA DE ELEMENTO VAZADO,  COBOGÓ DE CONCRETO (20X40CM), ESP. 10CM, TIPO VENEZIANA COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,88.15,Região Norte,Planilha
ED-48207,"ALVENARIA DE ELEMENTO VAZADO,  COBOGÓ DE CONCRETO (20X40CM), ESP. 20CM, TIPO VENEZIANA COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,91.22,Região Norte,Planilha
ED-48206,"ALVENARIA DE ELEMENTO VAZADO, COBOGÓ CERÂMICO (18X18CM), ESP. 7CM, COM ACABAMENTO APARENTE, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO",m2,80.81,Região Norte,Planilha
8765,ALVENARIA DE BLOCO DE VIDRO,,,Região Norte,Planilha
ED-48235,"ALVENARIA DE ELEMENTO VAZADO DE VIDRO,  BLOCO DE VIDRO (10X20CM), ESP. 10CM, TIPO CAPELA, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO E REJUNTAMENTO",m2,1417.68,Região Norte,Planilha
ED-48236,"ALVENARIA DE ELEMENTO VAZADO DE VIDRO,  BLOCO DE VIDRO (10X20CM), ESP. 10CM, TIPO RIO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO E REJUNTAMENTO",m2,1378.15,Região Norte,Planilha
ED-48234,"ALVENARIA DE VEDAÇÃO COM BLOCO DE VIDRO (19X19CM), ESP. 8CM, TIPO ONDULADO, INCLUSIVE ARGAMASSA PARA ASSENTAMENTO E REJUTAMENTO",m2,412.78,Região Norte,Planilha
8766,PLATIBANDA E EMPENA,,,Região Norte,Planilha
ED-50950,"FECHAMENTO DE EMPENA COM QUADRO EM PERFIL, CANTONEIRA 2"" X 2"", SOLDADO, E TELA FIO 12 MALHA 1/2"" (CONFORME DETALHE DE PRÉDIO ESCOLAR, INCLUSIVE PINTURA ESMALTE)",m2,216.38,Região Norte,Planilha
8767,ENCUNHAMENTO DE ALVENARIA ,,,Região Norte,Planilha
ED-8346,"ENCUNHAMENTO DE ALVENARIA DE VEDAÇÃO COM ARGAMASSA, INCLUSIVE ADITIVO EXPANSOR PARA ENCUNHAMENTO",m,5.94,Região Norte,Planilha
ED-48397,ENCUNHAMENTO DE ALVENARIA DE VEDAÇÃO COM ESPUMA DE POLIURETANO EXPANSIVA,m,6.79,Região Norte,Planilha
8768,VERGA E CONTRA-VERGA,,,Região Norte,Planilha
ED-9906,"CONTRAVERGA EM CONCRETO ESTRUTURAL PARA VÃOS ACIMA DE 150CM, PREPARADO EM OBRA COM BETONEIRA, CONTROLE ""A"", COM FCK 20 MPA, MOLDADA IN LOCO, INCLUSIVE ARMAÇÃO",m3,2992.33,Região Norte,Planilha
ED-9903,"CONTRAVERGA EM CONCRETO ESTRUTURAL PARA VÃOS DE ATÉ 150CM, PREPARADO EM OBRA COM BETONEIRA, CONTROLE ""A"", COM FCK 20 MPA, MOLDADA IN LOCO, INCLUSIVE ARMAÇÃO",m3,2763.75,Região Norte,Planilha
ED-9907,"VERGA EM CONCRETO ESTRUTURAL PARA VÃOS ACIMA DE 150CM, PREPARADO EM OBRA COM BETONEIRA, CONTROLE ""A"", COM FCK 20 MPA, MOLDADA IN LOCO, INCLUSIVE ARMAÇÃO",m3,2992.33,Região Norte,Planilha
ED-9904,"VERGA EM CONCRETO ESTRUTURAL PARA VÃOS DE ATÉ 150CM, PREPARADO EM OBRA COM BETONEIRA, CONTROLE ""A"", COM FCK 20 MPA, MOLDADA IN LOCO, INCLUSIVE ARMAÇÃO",m3,2763.75,Região Norte,Planilha
8769,PAREDE DE GESSO ACARTONADO,,,Região Norte,Planilha
ED-48210,"PAREDE DE GESSO ACARTONADO (DRY-WALL), DIVISÃO ENTRE ÁREAS SECA E ÚMIDA DE UMA MESMA UNIDADE (ST/RU), ESP. 115 MM, INCLUSIVE MONTANTES, GUIAS E ACESSÓRIOS, EXCLUSIVE ISOLANTE TÉRMICO/ACÚSTICO",m2,91.91,Região Norte,Planilha
ED-48209,"PAREDE DE GESSO ACARTONADO (DRY-WALL), DIVISÃO ENTRE ÁREAS SECAS DE UMA MESMA UNIDADE (ST/ST), ESP. 115 MM, INCLUSIVE MONTANTES, GUIAS E ACESSÓRIOS, EXCLUSIVE ISOLANTE TÉRMICO/ACÚSTICO",m2,86.75,Região Norte,Planilha
ED-48211,"PAREDE DE GESSO ACARTONADO (DRY-WALL), DIVISÃO ENTRE ÁREAS UMIDAS DE UMA MESMA UNIDADE (RU/RU), ESP. 115 MM, INCLUSIVE MONTANTES, GUIAS E ACESSÓRIOS, EXCLUSIVE ISOLANTE TÉRMICO/ACÚSTICO",m2,97.08,Região Norte,Planilha
8770,DIVISÓRIA COMPENSADO NAVAL,,,Região Norte,Planilha
ED-48536,"DIVISÓRIA EM PAINEL REMOVÍVEL, NÚCLEO COMPENSADO NAVAL - P. AÇO TIPO C",m2,96.53,Região Norte,Planilha
ED-48537,"DIVISÓRIA EM PAINEL REMOVÍVEL, NÚCLEO COMPENSADO NAVAL - P. ALUMÍNIO TIPO C",m2,95.12,Região Norte,Planilha
8771,DIVISÓRIA EM PEDRA,,,Região Norte,Planilha
ED-48532,"DIVISÓRIA EM ARDÓSIA E = 3 CM, INCLUSIVE FERRAGENS EM LATÃO CROMADO",m2,286.5,Região Norte,Planilha
ED-48535,"DIVISÓRIA EM ARDÓSIA E = 3 CM, INCLUSIVE PERFIS EM CHAPA 18",m2,217.23,Região Norte,Planilha
ED-48533,"DIVISÓRIA EM GRANITO CINZA ANDORINHA E = 3 CM, INCLUSIVE FERRAGENS EM LATÃO CROMADO",m2,598.94,Região Norte,Planilha
ED-48531,"DIVISÓRIA EM MÁRMORE BRANCO E = 3 CM, INCLUSIVE FERRAGENS EM LATÃO CROMADO",m2,534.93,Região Norte,Planilha
ED-48534,"DIVISÓRIA EM MARMORITE E = 3 CM, INCLUSIVE FERRAGENS EM LATÃO CROMADO",m2,507.41,Região Norte,Planilha
8670,ESQUADRIAS E FERRAGENS,,,Região Norte,Planilha
8773,ESQUADRIA METÁLICA,,,Região Norte,Planilha
ED-13926,"FERRAGENS PARA PORTA METÁLICA, DE CORRER, COM DUAS (2) FOLHAS, BATENTE COM ALTURA MÁXIMA DE 2,3M, INCLUSIVE FECHADURA, MODELO BICO PAPAGAIO, ROLDANA INFERIOR E SUPERIOR, MODELO TIPO U, COM CAPACIDADE PARA 360KG, FORNECIMENTO, ACESSÓRIOS E INSTALAÇÃO, EXCLUSIVE PORTA METÁLICA",un,414.03,Região Norte,Planilha
ED-50951,"FORNECIMENTO E ASSENTAMENTO DE GRADE FIXA DE FERRO, PARA PROTEÇÃO DE JANELAS",m2,337.48,Região Norte,Planilha
ED-7576,"FORNECIMENTO E ASSENTAMENTO DE PORTA EM ALUMÍNIO, TIPO VENEZIANA, DE ABRIR, ACABAMENTO ANODIZADO NATURAL, INCLUSIVE FECHADURA E MARCO",m2,668.81,Região Norte,Planilha
ED-23034,"PORTA METÁLICA, TIPO DE ABRIR, COM UMA (1) FOLHA, EM CHAPA GALVANIZADA LAMBRIL, MODELO QUADRADO, INCLUSIVE PINTURA ANTICORROSIVA A BASE DE ÓXIDO DE FERRO (ZARCÃO), UMA (1) DEMÃO, FORNECIMENTO E ASSENTAMENTO, EXCLUSIVE FECHADURA E DOBRADIÇA",m2,372.27,Região Norte,Planilha
ED-13908,"PORTA METÁLICA, TIPO DE CORRER, COM DUAS (2) FOLHAS, EM CHAPA GALVANIZADA LAMBRIL, MODELO ONDULADA, INCLUSIVE FORNECIMENTO, ASSENTAMENTO, PERFIS PARA MARCO E PINTURA ANTICORROSIVA COM UMA (1) DEMÃO, EXCLUSIVE FECHADURA E ROLDANAS",m2,390.83,Região Norte,Planilha
ED-13888,"PORTA METÁLICA, TIPO DE CORRER, COM UMA (1) FOLHA, EM CHAPA GALVANIZADA LAMBRIL, MODELO ONDULADA, INCLUSIVE FORNECIMENTO, ASSENTAMENTO, PERFIS PARA MARCO E PINTURA ANTICORROSIVA COM UMA (1) DEMÃO, EXCLUSIVE FECHADURA E ROLDANAS",m2,370.78,Região Norte,Planilha
ED-23035,"PORTA METÁLICA VENEZIANA, TIPO DE ABRIR, COM UMA (1) FOLHA, EM PERFIL VENEZIANA ENRIJECIDO, INCLUSIVE PINTURA ANTICORROSIVA A BASE DE ÓXIDO DE FERRO (ZARCÃO), UMA (1) DEMÃO, FORNECIMENTO E ASSENTAMENTO, EXCLUSIVE FECHADURA E DOBRADIÇA",m2,381.73,Região Norte,Planilha
8774,JANELA DE ALUMÍNIO,,,Região Norte,Planilha
ED-50961,"FORNECIMENTO E ASSENTAMENTO DE JANELA DE ALUMÍNIO, LINHA SUPREMA ACABAMENTO ANODIZADO, TIPO BASCULA COM CONTRAMARCO, INCLUSIVE FORNECIMENTO DE VIDRO LISO DE 4MM, FERRAGENS E ACESSÓRIOS",m2,705.12,Região Norte,Planilha
ED-50962,"FORNECIMENTO E ASSENTAMENTO DE JANELA DE ALUMÍNIO, LINHA SUPREMA ACABAMENTO ANODIZADO, TIPO CORRER COM CONTRAMARCO, INCLUSIVE FORNECIMENTO DE VIDRO LISO DE 4MM, FERRAGENS E ACESSÓRIOS",m2,729.73,Região Norte,Planilha
ED-50963,"FORNECIMENTO E ASSENTAMENTO DE JANELA DE ALUMÍNIO, LINHA SUPREMA ACABAMENTO ANODIZADO, TIPO CORRER, 2 FOLHAS COM CONTRAMARCO, INCLUSIVE FORNECIMENTO DE VIDRO LISO DE 4MM, FERRAGENS E ACESSÓRIOS",m2,729.73,Região Norte,Planilha
ED-50964,"FORNECIMENTO E ASSENTAMENTO DE JANELA DE ALUMÍNIO, LINHA SUPREMA ACABAMENTO ANODIZADO, TIPO MAXIM-AR COM CONTRAMARCO, INCLUSIVE FORNECIMENTO DE VIDRO LISO DE 4MM, FERRAGENS E ACESSÓRIOS",m2,731.97,Região Norte,Planilha
8775,JANELA DE FERRO E METALON,,,Região Norte,Planilha
ED-50933,ASSENTAMENTO DE GRADIS E PORTÕES,m2,123.73,Região Norte,Planilha
ED-50931,ASSENTAMENTO DE JANELAS METÁLICAS BASCULANTE OU FIXA,m2,88.33,Região Norte,Planilha
ED-50932,ASSENTAMENTO DE JANELAS METÁLICAS DE CORRER E MAXIM-AR,m2,144.06,Região Norte,Planilha
ED-50934,ASSENTAMENTO DE PORTA DE METÁLICA UMA (1) OU DUAS (2) FOLHAS,m2,58.13,Região Norte,Planilha
ED-50930,FORNECIMENTO E ASSENTAMENTO DE CAIXILHO FIXO DE FERRO COM TELA CORRUGADA # 15 mm FIO 12,m2,252.27,Região Norte,Planilha
ED-50954,FORNECIMENTO E ASSENTAMENTO DE JANELA BASCULANTE DE FERRO,m2,453.08,Região Norte,Planilha
ED-50957,FORNECIMENTO E ASSENTAMENTO DE JANELA BASCULANTE EM METALON,m2,470.91,Região Norte,Planilha
ED-50955,FORNECIMENTO E ASSENTAMENTO DE JANELA DE CORRER EM FERRO,m2,527.16,Região Norte,Planilha
